SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,num_services,charge_per_service,is_new_customer,no_support,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_bucket_Mid,tenure_bucket_New
0,1,0,23,1,0,84.25,1968.1,3,21.0625,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1,1,72,1,0,90.95,6652.45,7,11.36875,0,0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,0,30,1,0,85.15,2555.9,3,21.2875,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
1,1,0,31,0,1,50.4,1580.1,4,10.08,0,0,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False
0,0,0,3,1,0,107.95,313.6,5,17.991666666666667,1,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
1,0,0,24,1,1,20.3,459.95,1,10.15,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
0,0,0,62,1,1,74.3,4698.05,5,12.383333333333333,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False
0,1,1,37,0,0,40.2,1448.8,3,10.05,0,0,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,62,1,1,19.2,1123.65,1,9.6,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
0,0,0,11,1,1,73.5,791.75,2,24.5,1,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,10,0,0,36.25,374.0,2,12.083333333333334,1,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
0,0,0,37,1,1,101.9,3545.35,5,16.983333333333334,0,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0,0,72,1,1,25.1,1789.9,1,12.55,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
0,0,0,19,1,1,84.75,1651.95,3,21.1875,0,0,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,1,1,1,19.6,19.6,1,9.8,1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,1,0,23,1,1,73.65,1642.75,4,14.73,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
1,1,0,43,1,1,109.55,4830.25,6,15.65,0,0,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False
0,0,0,46,1,1,94.9,4422.95,4,18.98,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
0,0,1,9,1,0,20.4,184.1,1,10.2,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,1,1,24,1,1,19.7,494.05,1,9.85,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False
1,0,0,8,1,1,100.15,908.55,4,20.03,1,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True
0,1,1,10,1,0,85.95,858.6,2,28.65,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,1,1,71,1,1,70.85,4973.4,5,11.808333333333332,0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
0,1,1,5,0,1,30.5,167.2,1,15.25,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,1,0,41,1,1,83.75,3273.55,3,20.9375,0,0,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,1,58,1,0,71.6,4230.25,5,11.933333333333332,0,0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,3,1,1,69.95,220.45,4,13.99,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True
0,1,1,67,1,1,19.4,1284.2,1,9.7,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
0,0,0,13,0,1,30.85,394.1,1,15.425,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,1,1,1,20.2,20.2,1,10.1,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,1,71,1,0,100.2,7209.0,6,14.314285714285717,0,0,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,0,8,1,1,54.75,438.05,2,18.25,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
0,0,0,28,1,1,91.25,2483.65,4,18.25,0,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
0,1,0,71,1,0,23.85,1672.1,1,11.925,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,67,1,1,118.35,7804.15,7,14.79375,0,0,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False
0,1,1,63,1,1,89.4,5597.65,7,11.175,0,0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,0,5,1,1,80.6,415.55,2,26.866666666666664,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,0,37,1,1,78.9,2976.95,6,11.271428571428572,0,0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
0,1,0,53,1,1,111.8,5809.75,6,15.971428571428572,0,0,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False
0,0,1,12,1,1,44.55,480.6,1,22.275,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,70,1,0,19.7,1341.5,1,9.85,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,0,3,1,1,74.4,229.55,1,37.2,1,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,14,1,1,82.65,1185.0,3,20.6625,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,61,0,0,43.7,2696.55,4,8.74,0,0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
0,0,0,4,1,1,88.45,370.65,3,22.1125,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
0,0,0,1,1,0,90.6,90.6,3,22.65,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
1,0,0,10,0,1,29.65,291.4,1,14.825,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
0,0,1,23,1,1,55.3,1284.2,3,13.825,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,1,27,1,0,20.6,581.85,1,10.3,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False
1,1,0,72,1,0,78.45,5682.25,6,11.207142857142856,0,0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,1,66,0,0,50.55,3364.55,3,12.6375,0,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,1,35,1,1,109.95,3782.4,6,15.707142857142856,0,0,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False
0,0,0,1,1,1,45.3,45.3,1,22.65,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,0,0,12,1,1,73.3,828.05,1,36.65,1,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,26,0,1,44.65,1156.55,3,11.1625,0,0,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,18,0,1,35.2,607.3,2,11.733333333333334,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
0,1,0,3,0,0,29.8,94.4,1,14.9,1,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,67,1,0,20.55,1343.4,1,10.275,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,1,12,1,0,20.3,224.5,1,10.15,1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
1,1,0,32,1,1,85.95,2628.6,2,28.65,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1,0,0,9,1,1,85.05,746.5,2,28.35,1,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
1,1,1,52,1,1,80.85,4079.55,5,13.475,0,1,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False
0,0,0,17,1,0,20.05,337.9,1,10.025,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,0,70,0,1,45.25,3264.45,2,15.083333333333334,0,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False
0,0,1,14,1,1,86.0,1164.05,3,21.5,0,0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
0,1,1,18,1,1,61.5,1087.45,4,12.3,0,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
0,0,0,46,0,1,60.75,2893.4,5,10.125,0,0,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,1,0,13,1,1,98.0,1237.85,5,16.333333333333332,0,1,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,0,19,1,1,78.7,1495.1,2,26.23333333333333,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,0,3,1,0,71.1,213.35,5,11.85,1,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True
0,1,1,62,1,0,20.65,1218.45,1,10.325,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
1,0,0,38,1,0,20.2,735.9,1,10.1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,7,1,0,19.25,112.3,1,9.625,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
0,0,0,46,1,0,55.65,2688.85,2,18.55,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
0,0,1,12,1,1,78.3,909.25,2,26.1,1,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,10,1,0,19.6,189.45,1,9.8,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,9,1,1,73.8,704.3,2,24.6,1,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,24,1,1,51.15,1275.7,2,17.05,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1,0,4,1,1,91.65,365.4,3,22.9125,1,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,0,46,1,0,84.25,3847.6,3,21.0625,0,0,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,67,1,1,92.45,6140.85,5,15.408333333333331,0,0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
0,1,1,14,1,0,80.45,1137.05,5,13.408333333333331,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
0,1,1,44,1,0,19.6,780.25,1,9.8,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
0,0,0,9,1,0,19.05,157.65,1,9.525,1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
0,0,0,1,1,1,81.95,81.95,2,27.316666666666663,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,1,0,57,1,1,109.4,6252.7,6,15.62857142857143,0,0,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False
0,0,0,1,1,1,20.1,20.1,1,10.05,1,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,1,0,69,1,1,109.95,7634.25,6,15.707142857142856,0,0,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,1,65,1,0,109.3,7337.55,6,15.614285714285714,0,0,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,0,52,1,1,91.6,4627.8,4,18.32,0,0,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,4,1,1,20.15,68.45,1,10.075,1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True
0,0,0,1,1,0,18.85,18.85,1,9.425,1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
0,0,0,1,1,0,45.75,45.75,1,22.875,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1,0,72,1,1,99.15,7422.1,5,16.525000000000002,0,0,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
0,0,0,53,0,1,53.6,2879.2,5,8.933333333333334,0,0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False
0,0,1,72,0,0,67.2,4671.7,6,9.6,0,0,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,0,2,1,0,69.65,145.15,1,34.825,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,72,1,0,113.8,7845.8,7,14.225,0,0,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,1,1,1,1,45.85,45.85,1,22.925,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0,1,1,67,1,1,24.9,1680.25,1,12.45,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,18,1,0,20.1,407.05,1,10.05,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False
1,0,0,2,1,1,70.35,139.05,1,35.175,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,12,1,0,74.05,872.65,4,14.81,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True
0,0,0,42,1,0,66.5,2762.75,4,13.3,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
0,0,1,31,1,1,79.45,2587.7,5,13.241666666666667,0,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False
0,1,0,69,1,1,53.65,3804.4,3,13.4125,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,1,1,67,1,0,84.8,5598.3,4,16.96,0,0,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,1,51,1,0,19.55,1086.75,1,9.775,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
0,0,0,65,1,0,24.8,1600.95,1,12.4,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,0,0,25,1,0,20.6,541.5,1,10.3,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
0,1,0,58,1,1,102.1,5885.4,5,17.016666666666666,0,0,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
1,1,0,52,1,1,104.45,5481.25,6,14.921428571428573,0,0,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False
1,0,0,37,0,0,36.65,1315.0,2,12.216666666666669,0,1,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,4,1,0,23.9,97.5,1,11.95,1,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,63,1,1,89.6,5538.8,3,22.4,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,0,53,1,1,94.25,4867.95,4,18.85,0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
0,1,1,32,1,1,86.1,2723.75,3,21.525,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,30,1,1,94.4,2638.1,4,18.880000000000003,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False
0,1,0,11,1,1,94.0,1078.9,3,23.5,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
0,1,1,69,0,0,46.25,3121.4,4,9.25,0,0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,1,1,61,0,0,51.35,3244.4,4,10.27,0,0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,0,9,1,0,98.3,923.5,4,19.66,1,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1,0,18,1,1,50.3,908.75,2,16.766666666666666,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
0,1,1,58,1,1,19.85,1158.85,1,9.925,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
1,0,0,35,1,1,99.05,3554.6,4,19.81,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,1,14,1,0,76.1,1054.8,6,10.87142857142857,0,0,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
