churn_probability,actual_churn,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,risk_tier,expected_remaining_months,CLV,priority_score,priority_rank
0.9407872,0,"tenure, charge_per_service, num_services",1,69.55,69.55,Month-to-month,Fiber optic,HIGH,31.421786120591584,2185.39,2055.99,19
0.8386932,1,"num_services, tenure, PaymentMethod_Electronic check",5,84.7,392.5,Month-to-month,Fiber optic,HIGH,27.421786120591584,2322.63,1947.97,20
0.8337974,1,"charge_per_service, num_services, tenure",3,79.4,205.05,Month-to-month,Fiber optic,HIGH,29.421786120591584,2336.09,1947.83,21
0.9406747,1,"tenure, charge_per_service, StreamingTV_Yes",3,70.3,208.85,Month-to-month,Fiber optic,HIGH,29.421786120591584,2068.35,1945.64,22
0.7031201,1,"charge_per_service, tenure, num_services",4,94.4,387.2,Month-to-month,Fiber optic,HIGH,28.421786120591584,2683.02,1886.49,23
0.92611134,1,"charge_per_service, tenure, num_services",12,99.7,1238.45,Month-to-month,Fiber optic,HIGH,20.421786120591584,2036.05,1885.61,24
0.94841915,1,"tenure, charge_per_service, DeviceProtection_Yes",2,64.2,143.65,Month-to-month,DSL,HIGH,30.421786120591584,1953.08,1852.34,25
0.8254703,0,"tenure, PaymentMethod_Electronic check, StreamingTV_Yes",4,78.85,292.8,Month-to-month,Fiber optic,HIGH,28.421786120591584,2241.06,1849.93,26
0.93399876,1,"charge_per_service, PaymentMethod_Electronic check, TotalCharges",11,90.15,987.95,Month-to-month,Fiber optic,HIGH,21.421786120591584,1931.17,1803.71,27
0.9120626,1,"charge_per_service, OnlineBackup_Yes, PaymentMethod_Electronic check",8,80.65,633.3,Month-to-month,Fiber optic,HIGH,24.421786120591584,1969.62,1796.42,28
0.79952854,0,"StreamingTV_Yes, PaymentMethod_Electronic check, TotalCharges",5,80.85,356.1,Month-to-month,Fiber optic,HIGH,27.421786120591584,2217.05,1772.59,29
0.9086035,1,"charge_per_service, DeviceProtection_Yes, StreamingTV_Yes",7,76.45,503.6,Month-to-month,Fiber optic,HIGH,25.421786120591584,1943.5,1765.87,30
0.91611975,0,"charge_per_service, num_services, PaymentMethod_Electronic check",7,73.85,511.25,Month-to-month,Fiber optic,HIGH,25.421786120591584,1877.4,1719.92,31
0.9728885,1,"charge_per_service, tenure, TotalCharges",9,75.2,633.85,Month-to-month,Fiber optic,HIGH,23.421786120591584,1761.32,1713.57,32
0.74283236,0,"StreamingTV_Yes, DeviceProtection_Yes, StreamingMovies_Yes",9,98.3,923.5,Month-to-month,Fiber optic,HIGH,23.421786120591584,2302.36,1710.27,33
0.79164165,1,"StreamingMovies_Yes, PaymentMethod_Electronic check, charge_per_service",2,70.7,129.2,Month-to-month,Fiber optic,HIGH,30.421786120591584,2150.82,1702.68,34
0.88634187,0,"tenure, TechSupport_Yes, StreamingMovies_Yes",5,70.05,302.6,Month-to-month,Fiber optic,HIGH,27.421786120591584,1920.9,1702.57,35
0.7465808,1,"num_services, tenure, PaymentMethod_Electronic check",7,89.5,676.7,Month-to-month,Fiber optic,HIGH,25.421786120591584,2275.25,1698.66,36
0.6954156,0,"charge_per_service, num_services, tenure",7,95.35,660.9,Month-to-month,Fiber optic,MEDIUM,25.421786120591584,2423.97,1685.67,37
0.97449255,1,"tenure, charge_per_service, TotalCharges",1,55.05,55.05,Month-to-month,DSL,HIGH,31.421786120591584,1729.77,1685.65,38
0.81651986,1,"charge_per_service, StreamingMovies_Yes, StreamingTV_Yes",3,69.55,222.3,Month-to-month,Fiber optic,HIGH,29.421786120591584,2046.29,1670.84,39
0.6582433,0,"PaymentMethod_Electronic check, charge_per_service, StreamingMovies_Yes",4,89.2,346.2,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,2535.22,1668.79,40
0.6917679,1,"num_services, DeviceProtection_Yes, tenure",4,82.85,319.6,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,2354.74,1628.93,41
0.8683148,0,"TotalCharges, charge_per_service, StreamingMovies_Yes",9,79.75,769.1,Month-to-month,Fiber optic,HIGH,23.421786120591584,1867.89,1621.92,42
0.94441897,1,"charge_per_service, StreamingMovies_Yes, StreamingTV_Yes",14,90.45,1266.1,Month-to-month,Fiber optic,HIGH,18.421786120591584,1666.25,1573.64,43
0.7412672,0,"PaymentMethod_Electronic check, charge_per_service, StreamingMovies_Yes",7,81.25,580.1,Month-to-month,DSL,HIGH,25.421786120591584,2065.52,1531.1,44
0.8100858,0,"tenure, num_services, PaymentMethod_Electronic check",8,75.6,535.55,Month-to-month,Fiber optic,HIGH,24.421786120591584,1846.29,1495.65,45
0.85711837,1,"PaymentMethod_Electronic check, StreamingTV_Yes, charge_per_service",1,55.0,55.0,Month-to-month,DSL,HIGH,31.421786120591584,1728.2,1481.27,46
0.66812223,1,"StreamingTV_Yes, OnlineBackup_Yes, charge_per_service",10,98.55,1008.55,Month-to-month,Fiber optic,MEDIUM,22.421786120591584,2209.67,1476.33,47
0.6156337,1,"DeviceProtection_Yes, StreamingMovies_Yes, PaymentMethod_Electronic check",1,76.0,76.0,Month-to-month,Fiber optic,MEDIUM,31.421786120591584,2388.06,1470.17,48
0.56257963,0,"tenure, charge_per_service, PaymentMethod_Electronic check",2,85.65,181.5,Month-to-month,Fiber optic,MEDIUM,30.421786120591584,2605.63,1465.87,49
0.95370173,1,"StreamingTV_Yes, tenure, PaymentMethod_Electronic check",1,48.55,48.55,Month-to-month,DSL,HIGH,31.421786120591584,1525.53,1454.9,50
0.7581308,0,"num_services, MonthlyCharges, PaymentMethod_Electronic check",10,84.7,832.05,Month-to-month,Fiber optic,HIGH,22.421786120591584,1899.13,1439.79,51
0.91827404,1,"tenure, DeviceProtection_Yes, StreamingTV_Yes",9,65.0,663.05,Month-to-month,DSL,HIGH,23.421786120591584,1522.42,1398.0,52
0.9665551,1,"charge_per_service, tenure, num_services",1,45.85,45.85,Month-to-month,DSL,HIGH,31.421786120591584,1440.69,1392.51,53
0.96875095,0,"charge_per_service, StreamingTV_Yes, PaymentMethod_Electronic check",1,45.65,45.65,Month-to-month,DSL,HIGH,31.421786120591584,1434.4,1389.58,54
0.73875684,1,"tenure, StreamingMovies_Yes, PaymentMethod_Electronic check",4,65.55,237.2,Month-to-month,DSL,HIGH,28.421786120591584,1863.05,1376.34,55
0.8452688,0,"StreamingMovies_Yes, tenure, DeviceProtection_Yes",8,66.25,546.45,Month-to-month,DSL,HIGH,24.421786120591584,1617.94,1367.59,56
0.5759638,1,"tenure, PaymentMethod_Electronic check, StreamingTV_Yes",4,83.25,308.05,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,2366.11,1362.79,57
0.7250463,0,"num_services, charge_per_service, PaymentMethod_Electronic check",13,96.65,1162.85,Month-to-month,Fiber optic,HIGH,19.421786120591584,1877.12,1361.0,58
0.6104659,1,"tenure, num_services, PaymentMethod_Electronic check",3,74.75,238.1,Month-to-month,Fiber optic,MEDIUM,29.421786120591584,2199.28,1342.59,59
0.811124,0,"num_services, tenure, TotalCharges",9,70.5,597.9,Month-to-month,Fiber optic,HIGH,23.421786120591584,1651.24,1339.36,60
0.89859694,0,"tenure, num_services, PaymentMethod_Electronic check",8,60.9,551.95,Month-to-month,DSL,HIGH,24.421786120591584,1487.29,1336.47,61
0.91708434,1,"tenure, DeviceProtection_Yes, TotalCharges",1,45.6,45.6,Month-to-month,DSL,HIGH,31.421786120591584,1432.83,1314.03,62
0.7336895,1,"PaymentMethod_Electronic check, num_services, StreamingMovies_Yes",5,64.35,352.65,Month-to-month,DSL,HIGH,27.421786120591584,1764.59,1294.66,63
0.9091301,1,"tenure, charge_per_service, num_services",4,49.25,208.45,Month-to-month,DSL,HIGH,28.421786120591584,1399.77,1272.57,64
0.870965,1,"tenure, charge_per_service, num_services",17,93.85,1625.65,Month-to-month,Fiber optic,HIGH,15.421786120591584,1447.33,1260.57,65
0.46422833,0,"num_services, tenure, MonthlyCharges",4,95.45,396.1,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,2712.86,1259.39,66
0.9699101,1,"tenure, charge_per_service, PaymentMethod_Electronic check",4,45.65,191.05,Month-to-month,DSL,HIGH,28.421786120591584,1297.45,1258.41,67
0.8112759,0,"DeviceProtection_Yes, StreamingTV_Yes, charge_per_service",16,94.45,1511.2,Month-to-month,Fiber optic,HIGH,16.421786120591584,1551.04,1258.32,68
0.56184715,1,"num_services, PaymentMethod_Electronic check, StreamingMovies_Yes",10,98.5,1058.25,Month-to-month,Fiber optic,MEDIUM,22.421786120591584,2208.55,1240.87,69
0.5828012,0,"OnlineBackup_Yes, PaymentMethod_Electronic check, charge_per_service",6,80.5,502.85,Month-to-month,Fiber optic,MEDIUM,26.421786120591584,2126.95,1239.59,70
0.643371,0,"DeviceProtection_Yes, charge_per_service, tenure",11,89.7,1047.7,Month-to-month,Fiber optic,MEDIUM,21.421786120591584,1921.53,1236.26,71
0.7640825,1,"tenure, num_services, PaymentMethod_Electronic check",11,75.25,888.65,Month-to-month,Fiber optic,HIGH,21.421786120591584,1611.99,1231.69,72
0.68524337,1,"tenure, num_services, PaymentMethod_Electronic check",10,79.95,857.2,Month-to-month,Fiber optic,MEDIUM,22.421786120591584,1792.62,1228.38,73
0.82350135,0,"num_services, DeviceProtection_Yes, PaymentMethod_Electronic check",14,80.05,1112.3,Month-to-month,Fiber optic,HIGH,18.421786120591584,1474.66,1214.38,74
0.5156394,1,"num_services, DeviceProtection_Yes, StreamingTV_Yes",1,74.6,74.6,Month-to-month,Fiber optic,MEDIUM,31.421786120591584,2344.07,1208.69,75
0.8418736,1,"tenure, charge_per_service, num_services",1,45.25,45.25,Month-to-month,DSL,HIGH,31.421786120591584,1421.84,1197.01,76
0.53651834,1,"PaymentMethod_Electronic check, TotalCharges, StreamingMovies_Yes",4,78.45,330.05,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,2229.69,1196.27,77
0.66413695,1,"PaymentMethod_Electronic check, StreamingMovies_Yes, charge_per_service",2,59.0,114.15,Month-to-month,DSL,MEDIUM,30.421786120591584,1794.89,1192.05,78
0.5263408,1,"tenure, PaymentMethod_Electronic check, StreamingMovies_Yes",8,92.1,729.95,Month-to-month,Fiber optic,MEDIUM,24.421786120591584,2249.25,1183.87,79
0.51471066,0,"PaymentMethod_Electronic check, DeviceProtection_Yes, StreamingMovies_Yes",1,72.1,72.1,Month-to-month,Fiber optic,MEDIUM,31.421786120591584,2265.51,1166.08,80
0.46209484,1,"PaymentMethod_Electronic check, num_services, StreamingMovies_Yes",1,80.25,80.25,Month-to-month,Fiber optic,MEDIUM,31.421786120591584,2521.6,1165.22,81
0.89556676,1,"tenure, PaymentMethod_Electronic check, StreamingTV_Yes",21,111.2,2317.1,Month-to-month,Fiber optic,HIGH,11.421786120591584,1270.1,1137.46,82
0.93938166,1,"charge_per_service, PaymentMethod_Electronic check, StreamingTV_Yes",14,64.7,941.0,Month-to-month,DSL,HIGH,18.421786120591584,1191.89,1119.64,83
0.8001283,0,"StreamingTV_Yes, tenure, PaymentMethod_Mailed check",2,45.0,96.45,Month-to-month,DSL,HIGH,30.421786120591584,1368.98,1095.36,84
0.43882433,1,"charge_per_service, DeviceProtection_Yes, PaymentMethod_Electronic check",7,98.05,713.0,Month-to-month,Fiber optic,MEDIUM,25.421786120591584,2492.61,1093.82,85
0.70380443,0,"charge_per_service, StreamingTV_Yes, PaymentMethod_Electronic check",14,81.95,1181.75,Two year,DSL,HIGH,18.421786120591584,1509.67,1062.51,86
0.699387,0,"charge_per_service, OnlineBackup_Yes, StreamingMovies_Yes",15,85.9,1269.55,Month-to-month,Fiber optic,MEDIUM,17.421786120591584,1496.53,1046.65,87
0.52750117,1,"num_services, DeviceProtection_Yes, PaymentMethod_Electronic check",4,69.55,284.9,Month-to-month,Fiber optic,MEDIUM,28.421786120591584,1976.74,1042.73,88
0.8054295,0,"tenure, charge_per_service, TotalCharges",14,70.2,1046.5,Month-to-month,Fiber optic,HIGH,18.421786120591584,1293.21,1041.59,89
0.8485456,0,"num_services, PaymentMethod_Electronic check, DeviceProtection_Yes",16,74.55,1170.5,Month-to-month,Fiber optic,HIGH,16.421786120591584,1224.24,1038.82,90
0.8629202,1,"DeviceProtection_Yes, charge_per_service, StreamingTV_Yes",16,73.25,1195.75,Month-to-month,Fiber optic,HIGH,16.421786120591584,1202.9,1038.01,91
0.9476803,1,"tenure, num_services, PaymentMethod_Electronic check",13,55.95,734.35,Month-to-month,DSL,HIGH,19.421786120591584,1086.65,1029.8,92
0.80520344,0,"StreamingTV_Yes, PaymentMethod_Electronic check, charge_per_service",17,82.65,1470.05,Month-to-month,Fiber optic,HIGH,15.421786120591584,1274.61,1026.32,93
0.6482536,0,"tenure, charge_per_service, num_services",16,96.15,1529.2,Month-to-month,Fiber optic,MEDIUM,16.421786120591584,1578.95,1023.56,94
0.91674066,1,"PaymentMethod_Electronic check, StreamingMovies_Yes, charge_per_service",18,75.9,1373.05,Month-to-month,Fiber optic,HIGH,14.421786120591584,1094.61,1003.47,95
0.8061762,1,"charge_per_service, num_services, PaymentMethod_Electronic check",18,85.2,1553.9,Month-to-month,Fiber optic,HIGH,14.421786120591584,1228.74,990.58,96
0.7861294,0,"tenure, num_services, PaymentMethod_Electronic check",12,61.65,713.75,Month-to-month,DSL,HIGH,20.421786120591584,1259.0,989.74,97
0.94484866,1,"charge_per_service, StreamingTV_Yes, PaymentMethod_Electronic check",14,55.7,795.15,One year,DSL,HIGH,18.421786120591584,1026.09,969.5,98
0.6616586,1,"charge_per_service, StreamingTV_Yes, StreamingMovies_Yes",19,106.6,1934.45,Month-to-month,Fiber optic,MEDIUM,13.421786120591584,1430.76,946.67,99
0.49049264,1,"charge_per_service, tenure, PaymentMethod_Electronic check",10,85.95,858.6,Month-to-month,Fiber optic,MEDIUM,22.421786120591584,1927.15,945.25,100
0.44917476,0,"PaymentMethod_Electronic check, num_services, charge_per_service",11,97.85,1105.4,Month-to-month,Fiber optic,MEDIUM,21.421786120591584,2096.12,941.52,101
0.8014091,0,"PaymentMethod_Electronic check, num_services, charge_per_service",19,86.0,1532.45,Month-to-month,Fiber optic,HIGH,13.421786120591584,1154.27,925.04,102
0.5042141,0,"charge_per_service, num_services, PaymentMethod_Electronic check",12,89.75,1052.4,Month-to-month,Fiber optic,MEDIUM,20.421786120591584,1832.86,924.15,103
0.6023769,1,"DeviceProtection_Yes, num_services, PaymentMethod_Electronic check",2,50.3,92.75,Month-to-month,DSL,MEDIUM,30.421786120591584,1530.22,921.77,104
0.63574374,1,"StreamingTV_Yes, charge_per_service, PaymentMethod_Electronic check",1,45.05,45.05,Month-to-month,DSL,MEDIUM,31.421786120591584,1415.55,899.93,105
0.53785676,0,"charge_per_service, StreamingTV_Yes, PaymentMethod_Electronic check",11,78.0,851.8,Month-to-month,Fiber optic,MEDIUM,21.421786120591584,1670.9,898.7,106
0.8208211,0,"charge_per_service, PaymentMethod_Electronic check, num_services",13,56.0,764.55,Month-to-month,DSL,HIGH,19.421786120591584,1087.62,892.74,107
0.90117884,1,"DeviceProtection_Yes, charge_per_service, tenure",22,94.65,2104.55,Month-to-month,Fiber optic,HIGH,10.421786120591584,986.42,888.94,108
0.79507875,1,"tenure, TotalCharges, PaymentMethod_Electronic check",1,35.45,35.45,Month-to-month,DSL,HIGH,31.421786120591584,1113.9,885.64,109
0.3980792,1,"num_services, DeviceProtection_Yes, TotalCharges",3,75.05,202.9,Month-to-month,Fiber optic,LOW,29.421786120591584,2208.11,879.0,110
0.6139588,0,"num_services, DeviceProtection_Yes, StreamingTV_Yes",1,44.8,44.8,Month-to-month,DSL,MEDIUM,31.421786120591584,1407.7,864.27,111
0.4014592,0,"num_services, tenure, OnlineBackup_Yes",2,70.7,151.65,Month-to-month,Fiber optic,MEDIUM,30.421786120591584,2150.82,863.47,112
0.7221481,1,"PaymentMethod_Electronic check, StreamingMovies_Yes, charge_per_service",20,94.1,1782.4,Month-to-month,Fiber optic,HIGH,12.421786120591584,1168.89,844.11,113
0.6223646,0,"charge_per_service, tenure, num_services",3,45.35,141.5,Month-to-month,DSL,MEDIUM,29.421786120591584,1334.28,830.41,114
0.4462731,1,"num_services, StreamingMovies_Yes, PaymentMethod_Electronic check",16,112.95,1882.55,Month-to-month,Fiber optic,MEDIUM,16.421786120591584,1854.84,827.77,115
0.97298187,1,"num_services, StreamingMovies_Yes, tenure",23,86.8,1975.85,Month-to-month,Fiber optic,HIGH,9.421786120591584,817.81,795.71,116
0.33369908,1,"PaymentMethod_Electronic check, StreamingTV_Yes, PaymentMethod_Mailed check",5,85.4,401.1,Month-to-month,Fiber optic,LOW,27.421786120591584,2341.82,781.46,117
0.50107235,1,"PaymentMethod_Electronic check, num_services, StreamingTV_Yes",15,85.6,1345.55,Month-to-month,Fiber optic,MEDIUM,17.421786120591584,1491.3,747.25,118
0.951486,1,"tenure, charge_per_service, num_services",1,24.8,24.8,Month-to-month,DSL,HIGH,31.421786120591584,779.26,741.45,119
0.79741025,0,"tenure, PaymentMethod_Electronic check, StreamingTV_Yes",22,89.05,1886.25,Month-to-month,Fiber optic,HIGH,10.421786120591584,928.06,740.04,120
0.24951205,0,"num_services, PaymentMethod_Electronic check, tenure",2,96.0,174.8,Month-to-month,Fiber optic,LOW,30.421786120591584,2920.49,728.7,121
0.90225387,0,"PaymentMethod_Electronic check, TotalCharges, charge_per_service",1,25.25,25.25,Month-to-month,DSL,HIGH,31.421786120591584,793.4,715.85,122
0.7957013,1,"OnlineBackup_Yes, StreamingMovies_Yes, num_services",23,95.1,2326.05,Month-to-month,Fiber optic,HIGH,9.421786120591584,896.01,712.96,123
0.90788543,1,"tenure, num_services, DeviceProtection_Yes",5,28.45,131.05,Month-to-month,DSL,HIGH,27.421786120591584,780.15,708.29,124
0.8022013,0,"DeviceProtection_Yes, PaymentMethod_Electronic check, num_services",19,65.35,1231.85,One year,DSL,HIGH,13.421786120591584,877.11,703.62,125
0.2866779,0,"PaymentMethod_Electronic check, OnlineBackup_Yes, TotalCharges",5,88.9,454.15,Month-to-month,Fiber optic,LOW,27.421786120591584,2437.8,698.86,126
0.57323813,1,"OnlineSecurity_Yes, StreamingMovies_Yes, num_services",15,69.0,994.8,Month-to-month,Fiber optic,MEDIUM,17.421786120591584,1202.1,689.09,127
0.3923172,1,"tenure, PaymentMethod_Electronic check, StreamingMovies_Yes",1,55.2,55.2,Month-to-month,DSL,LOW,31.421786120591584,1734.48,680.47,128
0.71036124,1,"charge_per_service, PaymentMethod_Electronic check, tenure",13,49.15,649.4,Month-to-month,DSL,HIGH,19.421786120591584,954.58,678.1,129
0.9595182,1,"tenure, charge_per_service, StreamingTV_Yes",23,75.0,1778.5,Month-to-month,Fiber optic,HIGH,9.421786120591584,706.63,678.02,130
0.35192928,0,"charge_per_service, tenure, PaymentMethod_Electronic check",10,85.6,813.85,Month-to-month,Fiber optic,LOW,22.421786120591584,1919.3,675.46,131
0.43891984,0,"PaymentMethod_Electronic check, charge_per_service, num_services",2,49.05,91.1,Month-to-month,DSL,MEDIUM,30.421786120591584,1492.19,654.95,132
0.23857771,0,"charge_per_service, PaymentMethod_Electronic check, StreamingMovies_Yes",2,89.5,161.5,Month-to-month,Fiber optic,LOW,30.421786120591584,2722.75,649.59,133
0.94941175,1,"tenure, charge_per_service, num_services",24,80.25,1861.5,Month-to-month,Fiber optic,HIGH,8.421786120591584,675.85,641.66,134
0.53637296,1,"PaymentMethod_Electronic check, StreamingMovies_Yes, PaymentMethod_Credit card (automatic)",21,104.55,2239.4,One year,Fiber optic,MEDIUM,11.421786120591584,1194.15,640.51,135
0.41174024,0,"num_services, PaymentMethod_Electronic check, tenure",13,80.0,1029.35,Month-to-month,Fiber optic,MEDIUM,19.421786120591584,1553.74,639.74,136
0.55272317,1,"StreamingTV_Yes, PaymentMethod_Electronic check, StreamingMovies_Yes",10,51.2,498.25,Month-to-month,DSL,MEDIUM,22.421786120591584,1148.0,634.53,137
0.6815545,0,"charge_per_service, num_services, StreamingMovies_Yes",12,45.4,518.9,Month-to-month,DSL,MEDIUM,20.421786120591584,927.15,631.9,138
0.22374696,0,"tenure, num_services, StreamingTV_Yes",1,89.55,89.55,Month-to-month,Fiber optic,LOW,31.421786120591584,2813.82,629.58,139
0.97503316,1,"tenure, charge_per_service, TotalCharges",20,51.8,1023.85,Month-to-month,DSL,HIGH,12.421786120591584,643.45,627.39,140
0.23691127,0,"PaymentMethod_Electronic check, PaymentMethod_Credit card (automatic), StreamingTV_Yes",5,96.5,492.55,Month-to-month,Fiber optic,LOW,27.421786120591584,2646.2,626.91,141
0.22901183,1,"charge_per_service, num_services, PaymentMethod_Electronic check",2,89.55,185.55,Month-to-month,Fiber optic,LOW,30.421786120591584,2724.27,623.89,142
0.8259118,1,"PaymentMethod_Electronic check, StreamingMovies_Yes, num_services",24,89.25,2210.2,Month-to-month,Fiber optic,HIGH,8.421786120591584,751.64,620.79,143
0.5215002,1,"StreamingMovies_Yes, PaymentMethod_Electronic check, DeviceProtection_Yes",6,45.0,298.7,Month-to-month,DSL,MEDIUM,26.421786120591584,1188.98,620.05,144
0.990377,1,"charge_per_service, StreamingMovies_Yes, StreamingTV_Yes",1,19.75,19.75,Month-to-month,No,HIGH,31.421786120591584,620.58,614.61,145
0.7174693,1,"StreamingTV_Yes, PaymentMethod_Electronic check, charge_per_service",15,48.85,631.4,Month-to-month,DSL,HIGH,17.421786120591584,851.05,610.6,146
0.60603446,1,"charge_per_service, num_services, tenure",20,81.0,1683.7,Month-to-month,Fiber optic,MEDIUM,12.421786120591584,1006.16,609.77,147
0.9867371,1,"charge_per_service, MonthlyCharges, StreamingMovies_Yes",8,25.25,186.3,Month-to-month,DSL,HIGH,24.421786120591584,616.65,608.47,148
0.9027925,0,"tenure, DeviceProtection_Yes, PaymentMethod_Electronic check",25,90.4,2178.6,One year,Fiber optic,HIGH,7.421786120591584,670.93,605.71,149
0.9705277,1,"charge_per_service, tenure, StreamingTV_Yes",1,19.85,19.85,Month-to-month,No,HIGH,31.421786120591584,623.72,605.34,150
0.7529977,1,"charge_per_service, StreamingMovies_Yes, DeviceProtection_Yes",1,25.2,25.2,Month-to-month,DSL,HIGH,31.421786120591584,791.83,596.25,151
0.66957784,1,"MonthlyCharges, PaymentMethod_Electronic check, charge_per_service",22,84.15,1821.95,Month-to-month,Fiber optic,MEDIUM,10.421786120591584,876.99,587.21,152
0.63000107,1,"StreamingTV_Yes, num_services, PaymentMethod_Electronic check",14,50.45,765.45,Month-to-month,DSL,MEDIUM,18.421786120591584,929.38,585.51,153
0.4345079,1,"TotalCharges, StreamingTV_Yes, charge_per_service",20,107.05,2172.05,Month-to-month,Fiber optic,MEDIUM,12.421786120591584,1329.75,577.79,154
0.4817212,0,"PaymentMethod_Electronic check, StreamingTV_Yes, InternetService_Fiber optic",20,96.55,1901.65,Month-to-month,Fiber optic,MEDIUM,12.421786120591584,1199.32,577.74,155
0.590031,0,"charge_per_service, num_services, PaymentMethod_Electronic check",13,49.95,587.45,Month-to-month,DSL,MEDIUM,19.421786120591584,970.12,572.4,156
0.35861477,0,"PaymentMethod_Electronic check, num_services, charge_per_service",14,86.0,1164.05,Month-to-month,Fiber optic,LOW,18.421786120591584,1584.27,568.14,157
0.40304857,1,"TotalCharges, PaymentMethod_Electronic check, StreamingTV_Yes",2,46.0,84.5,Month-to-month,DSL,MEDIUM,30.421786120591584,1399.4,564.03,158
0.9294849,0,"num_services, DeviceProtection_Yes, tenure",25,81.75,2028.8,Month-to-month,DSL,HIGH,7.421786120591584,606.73,563.95,159
0.2564656,0,"PaymentMethod_Electronic check, MonthlyCharges, charge_per_service",3,74.4,215.8,Month-to-month,Fiber optic,LOW,29.421786120591584,2188.98,561.4,160
0.8839774,1,"tenure, charge_per_service, StreamingTV_Yes",1,20.2,20.2,One year,No,HIGH,31.421786120591584,634.72,561.08,161
0.23271252,0,"PaymentMethod_Electronic check, charge_per_service, num_services",3,81.35,233.7,Month-to-month,Fiber optic,LOW,29.421786120591584,2393.46,556.99,162
0.2179698,1,"PaymentMethod_Electronic check, PaymentMethod_Credit card (automatic), tenure",1,79.9,79.9,Month-to-month,Fiber optic,LOW,31.421786120591584,2510.6,547.23,163
0.6819121,0,"num_services, DeviceProtection_Yes, StreamingTV_Yes",1,25.35,25.35,Month-to-month,DSL,MEDIUM,31.421786120591584,796.54,543.17,164
0.29792708,0,"num_services, tenure, PaymentMethod_Electronic check",8,74.5,606.55,Month-to-month,Fiber optic,LOW,24.421786120591584,1819.42,542.05,165
